RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
47,3704,v-systems,VSYS,-0.61,"$2,345,238",$0.062124,"$113,878,292",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3704.png
48,1808,omisego,OMG,-0.62,"$44,405,650",$0.811408,"$113,796,201",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1808.png
49,1567,nano,NANO,1.43,"$3,730,916",$0.813157,"$108,351,780",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1567.png
50,2586,synthetix-network-token,SNX,8.14,"$208,255",$0.753776,"$104,736,222",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2586.png
51,2087,kucoin-shares,KCS,0.76,"$6,957,084",$1.09,"$95,941,504",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2087.png
52,4030,algorand,ALGO,0.38,"$101,845,763",$0.227569,"$95,424,351",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4030.png
53,109,digibyte,DGB,-1.29,"$3,323,768",$0.007546,"$93,595,668",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/109.png
54,1214,lisk,LSK,-2.02,"$1,677,974",$0.762601,"$92,335,259",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1214.png
55,1104,augur,REP,0.48,"$6,333,927",$8.23,"$90,488,331",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1104.png
56,3718,bittorrent,BTT,0.31,"$68,504,250",$0.000419,"$88,794,008",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3718.png
57,2222,bitcoin-diamond,BCD,-0.50,"$2,136,555",$0.465216,"$86,759,493",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2222.png
58,2308,dai,DAI,0.60,"$20,949,863",$1.01,"$85,111,431",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2308.png
59,1042,siacoin,SC,-2.47,"$3,067,778",$0.001987,"$83,087,353",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1042.png
60,2099,icon,ICX,2.39,"$27,217,454",$0.164491,"$82,341,876",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2099.png
61,1274,waves,WAVES,-0.48,"$13,223,210",$0.808284,"$80,828,369",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1274.png
62,2416,theta,THETA,1.15,"$625,822",$0.086687,"$75,461,676",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2416.png
63,372,bytecoin-bcn,BCN,6.09,"$7,607",$0.000399,"$73,431,742",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/372.png
64,213,monacoin,MONA,-0.37,"$1,623,843",$1.11,"$72,815,479",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/213.png
65,463,bitshares,BTS,0.25,"$1,848,146",$0.026289,"$72,203,895",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/463.png
66,1521,komodo,KMD,1.69,"$1,711,686",$0.563452,"$65,635,445",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1521.png
67,3155,quant,QNT,-5.93,"$3,296,216",$5.24,"$63,278,169",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3155.png
68,1903,hypercash,HC,-0.67,"$1,951,282",$1.41,"$62,391,729",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1903.png
69,3218,energi,NRG,1.19,"$310,247",$2.62,"$57,375,749",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3218.png
70,1776,crypto-com,MCO,3.69,"$6,621,996",$3.63,"$57,351,360",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1776.png
