RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
28,2566,ontology,ONT,2.88,"$83,399,425",$0.601268,"$322,190,195",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2566.png
29,1697,basic-attention-token,BAT,-4.80,"$42,662,107",$0.215070,"$290,547,968",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1697.png
30,1437,zcash,ZEC,0.30,"$117,002,811",$36.63,"$281,375,929",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1437.png
31,3330,paxos-standard,PAX,0.20,"$313,083,970",$1.00,"$249,527,797",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3330.png
32,3662,hedgetrade,HEDG,-2.63,"$301,718",$0.739868,"$213,326,732",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3662.png
33,1896,0x,ZRX,-0.67,"$25,235,878",$0.324088,"$194,861,940",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1896.png
34,2563,trueusd,TUSD,0.11,"$171,580,559",$1.00,"$186,612,023",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2563.png
35,3077,vechain,VET,-1.07,"$75,159,532",$0.003337,"$185,072,725",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3077.png
36,1684,qtum,QTUM,0.09,"$171,081,770",$1.71,"$164,759,779",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1684.png
37,1168,decred,DCR,-2.40,"$6,559,261",$14.51,"$153,284,001",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1168.png
38,2682,holo,HOT,2.23,"$13,341,123",$0.000941,"$151,931,246",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2682.png
39,3437,abbc-coin,ABBC,-3.98,"$57,890,276",$0.274036,"$151,900,412",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3437.png
40,2577,ravencoin,RVN,-1.11,"$10,772,025",$0.031174,"$146,034,276",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2577.png
41,4172,luna,LUNA,-5.82,"$1,063,351",$0.494652,"$141,199,101",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4172.png
42,3351,zb,ZB,-0.38,"$174,404,324",$0.299710,"$138,852,180",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3351.png
43,2083,bitcoin-gold,BTG,0.68,"$12,052,354",$7.61,"$133,264,267",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2083.png
44,4279,swipe,SXP,-0.31,"$51,094,241",$2.11,"$129,208,680",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4279.png
45,2453,educare,EKT,3.31,"$8,875,609",$0.145423,"$123,609,534",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2453.png
46,2585,centrality,CENNZ,-2.29,"$404,958",$0.118639,"$125,242,487",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2585.png
47,3704,v-systems,VSYS,-0.47,"$2,353,716",$0.062191,"$114,002,045",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3704.png
48,1808,omisego,OMG,-0.60,"$44,342,325",$0.811494,"$113,808,316",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1808.png
49,1567,nano,NANO,1.26,"$3,747,589",$0.811471,"$108,127,162",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1567.png
50,2586,synthetix-network-token,SNX,7.99,"$210,370",$0.752784,"$104,598,281",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2586.png
51,2087,kucoin-shares,KCS,0.81,"$7,025,671",$1.09,"$95,960,805",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2087.png
52,4030,algorand,ALGO,0.53,"$101,842,379",$0.228036,"$95,622,991",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4030.png
53,109,digibyte,DGB,-1.49,"$3,465,707",$0.007535,"$93,451,336",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/109.png
54,1214,lisk,LSK,-2.00,"$1,665,702",$0.762445,"$92,316,601",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1214.png
55,1104,augur,REP,0.52,"$6,347,904",$8.22,"$90,458,905",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1104.png
56,3718,bittorrent,BTT,0.55,"$68,542,059",$0.000420,"$89,027,027",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3718.png
57,2222,bitcoin-diamond,BCD,2.37,"$2,166,917",$0.477022,"$88,961,249",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2222.png
58,2308,dai,DAI,0.52,"$21,067,181",$1.01,"$85,078,081",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2308.png
59,1042,siacoin,SC,-2.43,"$3,068,081",$0.001988,"$83,123,072",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1042.png
60,2099,icon,ICX,2.37,"$27,227,560",$0.164492,"$82,342,197",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2099.png
61,1274,waves,WAVES,-0.58,"$13,264,237",$0.807787,"$80,778,660",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1274.png
62,2416,theta,THETA,1.27,"$627,398",$0.086750,"$75,516,406",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2416.png
63,372,bytecoin-bcn,BCN,5.96,"$7,612",$0.000397,"$73,130,218",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/372.png
64,213,monacoin,MONA,-0.45,"$1,623,464",$1.11,"$72,819,658",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/213.png
65,463,bitshares,BTS,-0.01,"$1,840,144",$0.026230,"$72,041,594",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/463.png
66,1521,komodo,KMD,1.82,"$1,715,618",$0.563698,"$65,664,698",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1521.png
67,3155,quant,QNT,-5.34,"$3,307,574",$5.27,"$63,669,677",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3155.png
68,1903,hypercash,HC,-0.76,"$1,953,433",$1.40,"$62,348,531",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1903.png
69,1776,crypto-com,MCO,3.77,"$6,642,339",$3.64,"$57,410,725",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1776.png
